states,transship,actions1,actions2,logprobs,rewards,is_terminals
"tensor([49.0000, 32.0000,  1.1913,  1.5819,  7.2977,  7.8573, 10.0000,  5.0000])",0,10,5,tensor(-0.0767),-182.0,False
"tensor([59.0000, 29.0000,  1.5819,  5.0511,  7.8573,  0.2087, 10.0000,  5.0000])",0,10,5,tensor(-0.1391),-196.0,False
"tensor([59.0000, 26.0000,  5.0511, 13.4563,  0.2087,  8.1318, 10.0000,  5.0000])",0,10,5,tensor(-0.1582),-190.0,False
"tensor([55.0000, 31.0000, 13.4563, 13.6636,  8.1318, 14.6658, 10.0000,  5.0000])",0,10,5,tensor(-0.1299),-192.0,False
"tensor([48.0000, 30.0000, 13.6636,  5.5840, 14.6658,  3.9642, 10.0000,  5.0000])",0,10,5,tensor(-0.1044),-176.0,False
"tensor([45.0000, 26.0000,  5.5840,  8.4756,  3.9642,  3.3100, 10.0000,  5.0000])",0,10,5,tensor(-0.1015),-162.0,False
"tensor([53.0000, 27.0000,  8.4756,  0.8368,  3.3100,  5.1552, 10.0000,  5.0000])",0,10,5,tensor(-0.1611),-180.0,False
"tensor([49.0000, 30.0000,  0.8368,  7.0009,  5.1552, 10.5736, 10.0000,  5.0000])",0,10,5,tensor(-0.0831),-178.0,False
"tensor([58.0000, 29.0000,  7.0009,  2.9741, 10.5736,  4.9525, 10.0000,  5.0000])",0,10,5,tensor(-0.1486),-194.0,False
"tensor([50.0000, 30.0000,  2.9741,  5.6201,  4.9525, 10.1960, 10.0000,  5.0000])",0,10,5,tensor(-0.0851),-180.0,False
"tensor([60.0000, 33.0000,  5.6201,  7.1769, 10.1960,  7.2031, 10.0000,  5.0000])",0,10,5,tensor(-0.1105),-206.0,False
"tensor([54.0000, 34.0000,  7.1769, 13.8405,  7.2031,  9.3847, 10.0000,  5.0000])",0,10,5,tensor(-0.0763),-196.0,False
"tensor([52.0000, 33.0000, 13.8405, 13.0488,  9.3847,  6.5636, 10.0000,  5.0000])",0,10,5,tensor(-0.0934),-190.0,False
